azevedo;tomasazevedocardoso@teleworm.us;BIG
oliveira;fabiooliveiracunha@rhyta.com;MOBILE
barbosa;douglasbarbosabodrigues@jourrapide.com;HEAVY
lima;lucaslimaazevedo@rhyta.com;MOBILE
goncalves;vitorgoncalvesmartins@rhyta.com;SCRIPT
pereira;viniciuscorreiapereira@teleworm.us;MOBILE
cunha;joaocunhacardoso@armyspy.com;SCRIPT
rocha;arthurgoncalvesrocha@jourrapide.com;HEAVY
tiago;tiagocostarocha@armyspy.com;BIG
cavalcanti;joseferreiracavalcanti@jourrapide.com;BIG
enzo;enzofernandescavalcanti@jourrapide.com;MOBILE
marcel;marcelzindobeco@gfezes.com;MOBILE
javeiro;javaehlixo@verdades.com.br;SCRIPT
